ResponseId,Response,J_WorkerId,J_Gender,J_Literacy,J_Age,Empathy,R_WorkerId,R_Gender,R_Literacy,R_Age,Treatment,ConversationId,Confidence,R_Discreet,R_Effectiveness,R_Efficiency,R_Explanation,R_Intentuse,R_Satisfaction,R_Transparency,R_Trust,R_Useful,,,,,,,,,,,,0
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Absolutely - what's going on?,A19LVWX8ZLO6CS,male,native,36-45,extremely,APUPF3D94XYUQ,female,native,36-45,0,9,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Absolutely - what's going on?,AQVXVMX61864S,male,native,26-35,moderately,APUPF3D94XYUQ,female,native,36-45,0,9,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Drinking can wait, I'll be home soon.",A2PZB9LF450MVX,female,native,26-35,extremely,A1PAMVTKGCXSWQ,male,native,18-25,2,1,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Drinking can wait, I'll be home soon.",A23PQPECIUVKHC,male,native,26-35,very,A1PAMVTKGCXSWQ,male,native,18-25,2,1,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Drinking can wait, I'll be home soon.",A1B76WYZ47BQJ,male,native,46-55,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,1,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hate the rain!,A1ZRK6K5JUPJAV,male,native,36-45,moderately,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hate the rain!,AL5YST63LLYWK,female,native,26-35,slightly,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hate the rain!,ASTWEY4TK6TFM,female,native,36-45,moderately,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, I'm doing it right now.",A3AV8KOZW78IEW,female,native,36-45,slightly,A1PAMVTKGCXSWQ,male,native,18-25,2,2,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, I'm doing it right now.",A19D89YNO9Z52K,female,native,18-25,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,2,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, I'm doing it right now.",A1ZRK6K5JUPJAV,male,native,36-45,very,A1PAMVTKGCXSWQ,male,native,18-25,2,2,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,With my speed? Nah.,AAL9C3HQU74I2,male,native,18-25,none,A1JVWOBGNA6KJT,male,native,46-55,0,11,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,With my speed? Nah.,AD317NO9623GZ,female,native,36-45,none,A1JVWOBGNA6KJT,male,native,46-55,0,11,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,With my speed? Nah.,A1B76WYZ47BQJ,male,native,46-55,moderately,A1JVWOBGNA6KJT,male,native,46-55,0,11,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Damn, sorry that's happening, if you need anything, let me know.",A2PZB9LF450MVX,female,native,26-35,extremely,A1PAMVTKGCXSWQ,male,native,18-25,2,3,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Damn, sorry that's happening, if you need anything, let me know.",A82RLSJJXBKE8,female,native,18-25,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,3,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Damn, sorry that's happening, if you need anything, let me know.",A1XQ7Y5CBAS43K,female,native,36-45,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,3,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Shut up :P,A82RLSJJXBKE8,female,native,18-25,slightly,APUPF3D94XYUQ,female,native,36-45,0,11,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Shut up :P,A2ELDYT1S772YH,male,profession,56-65,very,APUPF3D94XYUQ,female,native,36-45,0,11,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Shut up :P,A2DF1NCVJ8V8K2,female,profession,56-65,none,APUPF3D94XYUQ,female,native,36-45,0,11,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,I'm feeling a bit depressed lately.,A3P6IXUM1ND35A,male,native,26-35,moderately,A1JVWOBGNA6KJT,male,native,46-55,0,12,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,I'm feeling a bit depressed lately.,A2PZB9LF450MVX,female,native,26-35,none,A1JVWOBGNA6KJT,male,native,46-55,0,12,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,I'm feeling a bit depressed lately.,A166A2M31CW2C7,male,native,26-35,moderately,A1JVWOBGNA6KJT,male,native,46-55,0,12,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Nah, dude, wasn't me. Sorry that happened though.",A2MMMYB7AE5RQN,male,native,26-35,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,4,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Nah, dude, wasn't me. Sorry that happened though.",A3MD34XEB4H6JF,female,native,46-55,very,A1PAMVTKGCXSWQ,male,native,18-25,2,4,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Nah, dude, wasn't me. Sorry that happened though.",AQVXVMX61864S,male,native,26-35,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,4,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Idk - just need some time to myself.  Go on without me.  Ttyl,A17HFDRWYZL1CD,male,native,18-25,none,APUPF3D94XYUQ,female,native,36-45,0,12,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Idk - just need some time to myself.  Go on without me.  Ttyl,A104V8NZIQFN2F,male,native,36-45,slightly,APUPF3D94XYUQ,female,native,36-45,0,12,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Idk - just need some time to myself.  Go on without me.  Ttyl,A35X5BSOQNPJMR,gender-na,profession,age-na,none,APUPF3D94XYUQ,female,native,36-45,0,12,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Break up with him first, the day before Valentines, ruin his plan.",AQVXVMX61864S,male,profession,26-35,very,A1PAMVTKGCXSWQ,male,native,18-25,2,5,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Break up with him first, the day before Valentines, ruin his plan.",A39N860RODN562,female,native,18-25,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,5,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Break up with him first, the day before Valentines, ruin his plan.",A17HFDRWYZL1CD,male,native,18-25,moderately,A1PAMVTKGCXSWQ,male,native,18-25,2,5,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,"Yeah, can you pitch is some more money?",A3CENIDTHHT4R8,female,native,46-55,none,A1JVWOBGNA6KJT,male,native,46-55,0,13,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,"Yeah, can you pitch is some more money?",A1QSTGFG23OZHT,female,native,18-25,none,A1JVWOBGNA6KJT,male,native,46-55,0,13,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,"Yeah, can you pitch is some more money?",A82RLSJJXBKE8,female,native,18-25,moderately,A1JVWOBGNA6KJT,male,native,46-55,0,13,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Talk to you then.,A1QSTGFG23OZHT,female,native,18-25,very,A1JVWOBGNA6KJT,male,native,46-55,0,14,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Talk to you then.,A19LVWX8ZLO6CS,male,native,36-45,slightly,A1JVWOBGNA6KJT,male,native,46-55,0,14,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Talk to you then.,A3CENIDTHHT4R8,female,native,46-55,slightly,A1JVWOBGNA6KJT,male,native,46-55,0,14,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"You're good, I was just curious if it was you!",A1OFPROOWWSHUF,male,native,26-35,very,A1PAMVTKGCXSWQ,male,native,18-25,3,6,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"You're good, I was just curious if it was you!",A82RLSJJXBKE8,female,native,18-25,slightly,A1PAMVTKGCXSWQ,male,native,18-25,3,6,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"You're good, I was just curious if it was you!",A219VCQZADQ45W,female,native,56-65,moderately,A1PAMVTKGCXSWQ,male,native,18-25,3,6,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,I know - not sure what to do now :(,AL5YST63LLYWK,female,native,26-35,slightly,APUPF3D94XYUQ,female,native,36-45,0,13,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,I know - not sure what to do now :(,A2U31V169A20GY,female,native,26-35,none,APUPF3D94XYUQ,female,native,36-45,0,13,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,I know - not sure what to do now :(,A2T11H7YI7QPGD,male,native,26-35,moderately,APUPF3D94XYUQ,female,native,36-45,0,13,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Good idea.,A104V8NZIQFN2F,male,native,36-45,extremely,A1JVWOBGNA6KJT,male,native,46-55,0,15,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Good idea.,A2T11H7YI7QPGD,male,native,26-35,moderately,A1JVWOBGNA6KJT,male,native,46-55,0,15,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4,Good idea.,A340UGIDGIF4W6,female,native,36-45,none,A1JVWOBGNA6KJT,male,native,46-55,0,15,HighLow,agree,agree,agree,agree,neutral,agree,neutral,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Ok - call you in a bit,A2BIZNP74JU80U,female,native,36-45,moderately,APUPF3D94XYUQ,female,native,36-45,0,14,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Ok - call you in a bit,AL5YST63LLYWK,female,native,26-35,moderately,APUPF3D94XYUQ,female,native,36-45,0,14,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,Ok - call you in a bit,A15WCNO32MHBAF,male,native,56-65,very,APUPF3D94XYUQ,female,native,36-45,0,14,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"I'm so sorry that happened, I had no idea.",A3GNQDFPZALU92,male,native,26-35,very,A1PAMVTKGCXSWQ,male,native,18-25,3,7,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"I'm so sorry that happened, I had no idea.",A231ZFAME6FLN,female,native,36-45,very,A1PAMVTKGCXSWQ,male,native,18-25,3,7,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"I'm so sorry that happened, I had no idea.",A19D89YNO9Z52K,female,native,18-25,moderately,A1PAMVTKGCXSWQ,male,native,18-25,3,7,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, I think I'll pass! I'm not in the mood for a warzone.",A3Q9MCOULHCS4S,female,profession,36-45,none,ATIAMDY7P54P,female,native,56-65,2,1,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, I think I'll pass! I'm not in the mood for a warzone.",A27M4UQJMN22N4,male,native,18-25,moderately,ATIAMDY7P54P,female,native,56-65,2,1,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, I think I'll pass! I'm not in the mood for a warzone.",A3GNQDFPZALU92,male,native,26-35,none,ATIAMDY7P54P,female,native,56-65,2,1,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hope it turns up.,A231ZFAME6FLN,female,native,36-45,moderately,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hope it turns up.,A1JS7D8496047N,female,native,26-35,moderately,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3COPXFW7XC8AUHOJLNCPE22R7K5KPI,That stinks!  I hope it turns up.,AD317NO9623GZ,female,native,36-45,very,APUPF3D94XYUQ,female,native,36-45,0,10,HighOnly,agree,agree,agree,disagree,agree,agree,agree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, do you still want me to come...?",A2DF1NCVJ8V8K2,female,profession,56-65,slightly,A1PAMVTKGCXSWQ,male,native,18-25,3,8,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, do you still want me to come...?",A166A2M31CW2C7,male,native,26-35,moderately,A1PAMVTKGCXSWQ,male,native,18-25,3,8,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"Sorry, do you still want me to come...?",A19LVWX8ZLO6CS,male,native,36-45,very,A1PAMVTKGCXSWQ,male,native,18-25,3,8,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.",A19D89YNO9Z52K,female,native,18-25,extremely,ATIAMDY7P54P,female,native,56-65,2,2,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.",AFNED08Y4A2WP,male,native,18-25,very,ATIAMDY7P54P,female,native,56-65,2,2,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.",A82RLSJJXBKE8,female,native,18-25,very,ATIAMDY7P54P,female,native,56-65,2,2,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, you just need to calm down and consider your next move.",A19LVWX8ZLO6CS,male,native,36-45,moderately,ATIAMDY7P54P,female,native,56-65,2,3,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, you just need to calm down and consider your next move.",AQVXVMX61864S,male,native,26-35,very,ATIAMDY7P54P,female,native,56-65,2,3,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,"Well, you just need to calm down and consider your next move.",A2T11H7YI7QPGD,male,native,26-35,moderately,ATIAMDY7P54P,female,native,56-65,2,3,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,I'll prepare myself,ADLF8HVS3C7IL,male,native,18-25,slightly,A39Q4SNT7SRK94,male,native,26-35,2,1,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,I'll prepare myself,AQVXVMX61864S,male,native,26-35,extremely,A39Q4SNT7SRK94,male,native,26-35,2,1,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,I'll prepare myself,A19D89YNO9Z52K,female,native,18-25,moderately,A39Q4SNT7SRK94,male,native,26-35,2,1,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"What's up, sorry I was asleep.",A19LVWX8ZLO6CS,male,native,36-45,very,A1PAMVTKGCXSWQ,male,native,18-25,3,9,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"What's up, sorry I was asleep.",A1BXBRZ187LALK,male,native,36-45,moderately,A1PAMVTKGCXSWQ,male,native,18-25,3,9,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"What's up, sorry I was asleep.",A1Y8KKZE2XHW8X,female,native,26-35,none,A1PAMVTKGCXSWQ,male,native,18-25,3,9,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,You're grown! I don't understand why you're angry!,A33HA8ENAW2HOV,female,native,18-25,none,ATIAMDY7P54P,female,native,56-65,2,4,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,You're grown! I don't understand why you're angry!,A1OFPROOWWSHUF,male,native,26-35,none,ATIAMDY7P54P,female,native,56-65,2,4,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO,You're grown! I don't understand why you're angry!,AD317NO9623GZ,female,native,36-45,none,ATIAMDY7P54P,female,native,56-65,2,4,HighLow,neutral,neutral,neutral,disagree,neutral,agree,agree,neutral,agree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,"I'm sorry, I'll clean it up.",A3JY3Y5GWS3SYS,female,native,46-55,very,A39Q4SNT7SRK94,male,native,26-35,2,2,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,"I'm sorry, I'll clean it up.",A33HA8ENAW2HOV,female,native,18-25,extremely,A39Q4SNT7SRK94,male,native,26-35,2,2,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2,"I'm sorry, I'll clean it up.",A3Q9MCOULHCS4S,female,profession,36-45,none,A39Q4SNT7SRK94,male,native,26-35,2,2,HighOnly,strongagree,strongagree,strongagree,neutral,strongagree,strongagree,strongagree,strongagree,strongagree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"People are jerks, if you need a ride or something let me know.",A3MD34XEB4H6JF,female,native,46-55,extremely,A1PAMVTKGCXSWQ,male,native,18-25,3,10,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
3137ONMDKH11V43AMIBZMYBUMRSGEM,"People are jerks, if you need a ride or something let me know.",A2MMMYB7AE5RQN,male,native,26-35,extremely,A1PAMVTKGCXSWQ,male,native,18-25,3,10,HighLow,strongagree,strongagree,agree,agree,strongagree,strongagree,strongagree,agree,agree,,,,,,,,,,,,
