ResponseId,Response,J_WorkerId,J_Gender,J_Literacy,J_Age,Empathy,R_WorkerId,R_Gender,R_Literacy,R_Age,Treatment,ConversationId,,,,,,,,,,,,,,,,,,,,,,0
3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,APRBKGIRNIXRW,male,native,26-35,slightly,A1L62VC27LQKPA,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3NVC2EB65RVY7X8DR4G9A7E10HAY3V,What's going on?,A1H4GJFI4NJWKV,female,native,36-45,slightly,A1L62VC27LQKPA,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,A7KLTVEIASF4J,male,native,26-35,none,A36QD4HK0M6PUL,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,A3FOKP72T5I4FR,female,native,36-45,slightly,A36QD4HK0M6PUL,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,A2QVMCGDLTWV9,male,native,26-35,moderately,A36QD4HK0M6PUL,female,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,A3U761PEG7MFKT,female,native,36-45,moderately,A2MQGU4NZZ8V0H,male,native,36-45,0,1,,,,,,,,,,,,,,,,,,,,,,
3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,A20O44S26VN11P,female,native,18-25,extremely,A2MQGU4NZZ8V0H,male,native,36-45,0,1,,,,,,,,,,,,,,,,,,,,,,
3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,A1JEMN51X76N2O,female,native,46-55,slightly,A2MQGU4NZZ8V0H,male,native,36-45,0,1,,,,,,,,,,,,,,,,,,,,,,
3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,A30V8858N0WEW,male,native,36-45,none,A8UJNIY9R8S7W,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,A1JEMN51X76N2O,female,native,46-55,none,A8UJNIY9R8S7W,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,A20O44S26VN11P,female,native,18-25,none,A8UJNIY9R8S7W,male,native,26-35,0,1,,,,,,,,,,,,,,,,,,,,,,
37QW5D2ZRHINC82A4FJGJ2YBZL4S87,Maybe I should just come straight home.,A1H4GJFI4NJWKV,female,native,36-45,moderately,A34UGZMQWTFICZ,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
37QW5D2ZRHINC82A4FJGJ2YBZL4S87,Maybe I should just come straight home.,A20O44S26VN11P,female,native,18-25,very,A34UGZMQWTFICZ,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
37QW5D2ZRHINC82A4FJGJ2YBZL4S87,Maybe I should just come straight home.,A1IOMFFEKCWOIT,female,limited,26-35,moderately,A34UGZMQWTFICZ,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
37TRT2X24RNDF3HRKXUCI3XPB8QJBV,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,A3MYTEE8WSEQ2Z,male,native,18-25,very,A8DGDW4WKLDX3,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
37TRT2X24RNDF3HRKXUCI3XPB8QJBV,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,AWYAVVEVO3O6M,male,profession,18-25,extremely,A8DGDW4WKLDX3,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
37TRT2X24RNDF3HRKXUCI3XPB8QJBV,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,A14M2EERU7E8KD,female,native,26-35,moderately,A8DGDW4WKLDX3,female,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What happened? Sorry to hear that.,AWYAVVEVO3O6M,male,profession,18-25,very,A3VVR8NR3ED04C,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What happened? Sorry to hear that.,A110KENBXU7SUJ,male,native,46-55,very,A3VVR8NR3ED04C,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What happened? Sorry to hear that.,A1MQ9B05ZMM4YI,female,native,36-45,extremely,A3VVR8NR3ED04C,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3BQU611VFQG5LYPL01P323OWR01990,Oh my gosh! Is there anything I can do?,APRBKGIRNIXRW,male,native,26-35,slightly,A1MIBEGF81ZLUS,female,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3BQU611VFQG5LYPL01P323OWR01990,Oh my gosh! Is there anything I can do?,AYXXCTW7FHTVQ,female,native,46-55,very,A1MIBEGF81ZLUS,female,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3BQU611VFQG5LYPL01P323OWR01990,Oh my gosh! Is there anything I can do?,A32V5DY9IYAM4R,female,native,36-45,extremely,A1MIBEGF81ZLUS,female,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,What wrong?,A27PVIL93ZMY46,female,native,36-45,very,A1G187YBG0DVMQ,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,What wrong?,AY9S6HCHZ8F1Y,male,native,26-35,slightly,A1G187YBG0DVMQ,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,What wrong?,A1H4GJFI4NJWKV,female,native,36-45,slightly,A1G187YBG0DVMQ,male,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR0FNS,"Maybe I'll just come home and help you out, you need anything from the store?",AY9S6HCHZ8F1Y,male,native,26-35,extremely,AN4B03UMF1N0F,female,native,36-45,1,1,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR0FNS,"Maybe I'll just come home and help you out, you need anything from the store?",AWYAVVEVO3O6M,male,profession,18-25,very,AN4B03UMF1N0F,female,native,36-45,1,1,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR0FNS,"Maybe I'll just come home and help you out, you need anything from the store?",A2S96ZZ70YFPSK,female,native,36-45,extremely,AN4B03UMF1N0F,female,native,36-45,1,1,,,,,,,,,,,,,,,,,,,,,,
3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,No problem. I can come home and help you out instead. I can go out another time.,A1H4GJFI4NJWKV,female,native,36-45,slightly,A1ZT30BGR3266K,female,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,No problem. I can come home and help you out instead. I can go out another time.,AY9S6HCHZ8F1Y,male,native,26-35,extremely,A1ZT30BGR3266K,female,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,No problem. I can come home and help you out instead. I can go out another time.,ACKPIJEXGOL72,male,profession,18-25,extremely,A1ZT30BGR3266K,female,native,26-35,1,1,,,,,,,,,,,,,,,,,,,,,,
3KXIR214I5CTO8YAYXEXB852Z3O24I,What's going on are you ok?,A24DSECWUBZC0Z,male,native,36-45,very,APRZ7BR8C0ZMQ,male,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
3KXIR214I5CTO8YAYXEXB852Z3O24I,What's going on are you ok?,A2S96ZZ70YFPSK,female,native,36-45,very,APRZ7BR8C0ZMQ,male,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
3KXIR214I5CTO8YAYXEXB852Z3O24I,What's going on are you ok?,A3TWIUN2YTYNML,female,native,36-45,extremely,APRZ7BR8C0ZMQ,male,native,46-55,1,1,,,,,,,,,,,,,,,,,,,,,,
3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,Oh no. Anything I can do to help?,AYXXCTW7FHTVQ,female,native,46-55,very,ASBTT5QU0CX2Z,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,Oh no. Anything I can do to help?,A14WLAP6TCEKO0,male,native,26-35,very,ASBTT5QU0CX2Z,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,Oh no. Anything I can do to help?,A3TWIUN2YTYNML,female,native,36-45,extremely,ASBTT5QU0CX2Z,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,"Why? What's going on babe, how bad is it?",APRBKGIRNIXRW,male,native,26-35,slightly,AS7HK1VVADTKP,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,"Why? What's going on babe, how bad is it?",A11T4227GSO6EP,male,profession,26-35,moderately,AS7HK1VVADTKP,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,"Why? What's going on babe, how bad is it?",A110KENBXU7SUJ,male,native,46-55,slightly,AS7HK1VVADTKP,male,native,18-25,1,1,,,,,,,,,,,,,,,,,,,,,,
351SEKWQS1DWV8LW1QYATLD6IKLMDR,I'm sorry mom.,A27PVIL93ZMY46,female,native,36-45,very,A1L62VC27LQKPA,female,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
351SEKWQS1DWV8LW1QYATLD6IKLMDR,I'm sorry mom.,A24DSECWUBZC0Z,male,native,36-45,moderately,A1L62VC27LQKPA,female,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
351SEKWQS1DWV8LW1QYATLD6IKLMDR,I'm sorry mom.,APRBKGIRNIXRW,male,native,26-35,moderately,A1L62VC27LQKPA,female,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
36ZN444YTSU13MMU6KEYCMIO5TOIOS,I'm sorry. It won't happen again.,A1H4GJFI4NJWKV,female,native,36-45,slightly,A359BHMAYU2086,female,native,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
36ZN444YTSU13MMU6KEYCMIO5TOIOS,I'm sorry. It won't happen again.,AIBX0FFXVGV3G,male,profession,18-25,slightly,A359BHMAYU2086,female,native,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
36ZN444YTSU13MMU6KEYCMIO5TOIOS,I'm sorry. It won't happen again.,A11T4227GSO6EP,male,profession,26-35,very,A359BHMAYU2086,female,native,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
3HRMW88U17M2WOK2PEAFEETNOUZ0MX,I know mom sorry.,A2ZU1P6UYE1UBU,male,native,26-35,very,A17FGZ1I5P9RZA,female,native,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
3HRMW88U17M2WOK2PEAFEETNOUZ0MX,I know mom sorry.,A32V5DY9IYAM4R,female,native,36-45,moderately,A17FGZ1I5P9RZA,female,native,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
3HRMW88U17M2WOK2PEAFEETNOUZ0MX,I know mom sorry.,A2A0M30DSA7ZN,female,native,26-35,moderately,A17FGZ1I5P9RZA,female,native,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,Yes you did. I am sorry. It will never happen again.,AY9S6HCHZ8F1Y,male,native,26-35,very,A2LSRC2KZUEFGR,female,native,36-45,0,2,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,Yes you did. I am sorry. It will never happen again.,A1H4GJFI4NJWKV,female,native,36-45,slightly,A2LSRC2KZUEFGR,female,native,36-45,0,2,,,,,,,,,,,,,,,,,,,,,,
3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,Yes you did. I am sorry. It will never happen again.,APRBKGIRNIXRW,male,native,26-35,moderately,A2LSRC2KZUEFGR,female,native,36-45,0,2,,,,,,,,,,,,,,,,,,,,,,
3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,Lots of people get ants in their kitchen for no apparent reason.,A1JEMN51X76N2O,female,native,46-55,none,A1PVWZ8ZYJHCOJ,male,native,66-75,0,2,,,,,,,,,,,,,,,,,,,,,,
3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,Lots of people get ants in their kitchen for no apparent reason.,A285E5FTA8GGID,female,native,26-35,none,A1PVWZ8ZYJHCOJ,male,native,66-75,0,2,,,,,,,,,,,,,,,,,,,,,,
3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,Lots of people get ants in their kitchen for no apparent reason.,APRBKGIRNIXRW,male,native,26-35,none,A1PVWZ8ZYJHCOJ,male,native,66-75,0,2,,,,,,,,,,,,,,,,,,,,,,
3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,i'll do it. it's fine,A2QVMCGDLTWV9,male,native,26-35,moderately,A2CNRHLND4X5GB,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,i'll do it. it's fine,A3U761PEG7MFKT,female,native,36-45,none,A2CNRHLND4X5GB,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,i'll do it. it's fine,A35DZ5AAKNOKQ8,female,native,26-35,none,A2CNRHLND4X5GB,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3QY5DC2MXSGC60411YKM8VXL7NKUFQ,"Sorry,  I'll be right over to help clean it up.",A2S96ZZ70YFPSK,female,native,36-45,moderately,A1BV3IBBDAMU2W,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3QY5DC2MXSGC60411YKM8VXL7NKUFQ,"Sorry,  I'll be right over to help clean it up.",A3U761PEG7MFKT,female,native,36-45,extremely,A1BV3IBBDAMU2W,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3QY5DC2MXSGC60411YKM8VXL7NKUFQ,"Sorry,  I'll be right over to help clean it up.",A3GLMBZSG3VU4P,female,native,18-25,very,A1BV3IBBDAMU2W,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3R0T90IZ1T8MY6JWQR54WABR1XNCGX,"i am so sorry mom, this will not happen again in future.",APRBKGIRNIXRW,male,native,26-35,very,A17Y9UW18EFVTU,male,limited,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
3R0T90IZ1T8MY6JWQR54WABR1XNCGX,"i am so sorry mom, this will not happen again in future.",AY9S6HCHZ8F1Y,male,native,26-35,very,A17Y9UW18EFVTU,male,limited,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
3R0T90IZ1T8MY6JWQR54WABR1XNCGX,"i am so sorry mom, this will not happen again in future.",A3U761PEG7MFKT,female,native,36-45,extremely,A17Y9UW18EFVTU,male,limited,18-25,0,2,,,,,,,,,,,,,,,,,,,,,,
3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry, honest mistake. Won't happen again.",A2SKVQA1LQCH0M,female,profession,26-35,moderately,A3VVR8NR3ED04C,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry, honest mistake. Won't happen again.",A2RMJNF6IPI42F,female,native,26-35,extremely,A3VVR8NR3ED04C,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry, honest mistake. Won't happen again.",A32V5DY9IYAM4R,female,native,36-45,very,A3VVR8NR3ED04C,male,native,26-35,0,2,,,,,,,,,,,,,,,,,,,,,,
3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,I am sorry I forgot to take out the trash. it wont happen again.,APRBKGIRNIXRW,male,native,26-35,moderately,A1C8P0NH84SQ76,male,profession,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,I am sorry I forgot to take out the trash. it wont happen again.,A1JEMN51X76N2O,female,native,46-55,moderately,A1C8P0NH84SQ76,male,profession,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,I am sorry I forgot to take out the trash. it wont happen again.,A7KLTVEIASF4J,male,native,26-35,moderately,A1C8P0NH84SQ76,male,profession,46-55,0,2,,,,,,,,,,,,,,,,,,,,,,
33LK57MYLU12W43XD5JTWMVFYRGZSI,im sorry :/,A2S96ZZ70YFPSK,female,limited,36-45,none,A2LIUYEKTF2FS6,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
33LK57MYLU12W43XD5JTWMVFYRGZSI,im sorry :/,A1H4GJFI4NJWKV,female,native,36-45,slightly,A2LIUYEKTF2FS6,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
33LK57MYLU12W43XD5JTWMVFYRGZSI,im sorry :/,APRBKGIRNIXRW,male,native,26-35,moderately,A2LIUYEKTF2FS6,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
34S9DKFK74L5B11N9N0OJLC75YBNYA,"Sorry mom, I will take it out now",A1H4GJFI4NJWKV,female,native,36-45,very,ADYMIMV1PE14V,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
34S9DKFK74L5B11N9N0OJLC75YBNYA,"Sorry mom, I will take it out now",A35DZ5AAKNOKQ8,female,native,26-35,extremely,ADYMIMV1PE14V,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
34S9DKFK74L5B11N9N0OJLC75YBNYA,"Sorry mom, I will take it out now",AQ5RV9HW7U6ID,male,native,18-25,extremely,ADYMIMV1PE14V,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
37Z929RLGA46ASUY7DUBAYUYDVSSTT,"I'm sorry, I'll take care of it now.",AY9S6HCHZ8F1Y,male,native,26-35,moderately,A203C9REA20IT3,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
37Z929RLGA46ASUY7DUBAYUYDVSSTT,"I'm sorry, I'll take care of it now.",A2S96ZZ70YFPSK,female,native,36-45,moderately,A203C9REA20IT3,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
37Z929RLGA46ASUY7DUBAYUYDVSSTT,"I'm sorry, I'll take care of it now.",A1JEMN51X76N2O,female,native,46-55,extremely,A203C9REA20IT3,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I am so sorry. It won't happen again! I was late for school and forgot.,A24DSECWUBZC0Z,male,native,36-45,very,A3BOW7P5XM03DC,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I am so sorry. It won't happen again! I was late for school and forgot.,A3FOKP72T5I4FR,female,native,36-45,very,A3BOW7P5XM03DC,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I am so sorry. It won't happen again! I was late for school and forgot.,A2S96ZZ70YFPSK,female,native,36-45,moderately,A3BOW7P5XM03DC,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,Sorry mom. I will make sure to take it out next time you ask.,A14M2EERU7E8KD,female,native,26-35,moderately,ASBTT5QU0CX2Z,male,native,18-25,1,2,,,,,,,,,,,,,,,,,,,,,,
3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,Sorry mom. I will make sure to take it out next time you ask.,A2SKVQA1LQCH0M,female,profession,26-35,slightly,ASBTT5QU0CX2Z,male,native,18-25,1,2,,,,,,,,,,,,,,,,,,,,,,
3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,Sorry mom. I will make sure to take it out next time you ask.,A2A0M30DSA7ZN,female,native,26-35,extremely,ASBTT5QU0CX2Z,male,native,18-25,1,2,,,,,,,,,,,,,,,,,,,,,,
3CTOC39K38MQDRE17GIWD1BTSEC7J2,I'm sorry mom.  I'll make up for it tomorrow.,A3TWIUN2YTYNML,female,native,36-45,extremely,A8UJNIY9R8S7W,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
3CTOC39K38MQDRE17GIWD1BTSEC7J2,I'm sorry mom.  I'll make up for it tomorrow.,A7KLTVEIASF4J,male,native,26-35,moderately,A8UJNIY9R8S7W,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
3CTOC39K38MQDRE17GIWD1BTSEC7J2,I'm sorry mom.  I'll make up for it tomorrow.,A3GLMBZSG3VU4P,female,native,18-25,very,A8UJNIY9R8S7W,male,native,26-35,1,2,,,,,,,,,,,,,,,,,,,,,,
3FTOP5WARGKCVGEHMHXNYM16K3S0JN,sorry! i'll buy bug killer today,AY9S6HCHZ8F1Y,male,native,26-35,slightly,A1CE2XPYCDRHVZ,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
3FTOP5WARGKCVGEHMHXNYM16K3S0JN,sorry! i'll buy bug killer today,A7KLTVEIASF4J,male,native,26-35,slightly,A1CE2XPYCDRHVZ,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
3FTOP5WARGKCVGEHMHXNYM16K3S0JN,sorry! i'll buy bug killer today,A1JEMN51X76N2O,female,native,46-55,moderately,A1CE2XPYCDRHVZ,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Sorry, what did I leave out that ants came in?",AQ5RV9HW7U6ID,male,native,18-25,very,A2VXMRI706CDGI,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Sorry, what did I leave out that ants came in?",A1H4GJFI4NJWKV,female,native,36-45,slightly,A2VXMRI706CDGI,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Sorry, what did I leave out that ants came in?",A20O44S26VN11P,female,native,18-25,slightly,A2VXMRI706CDGI,female,native,56-65,1,2,,,,,,,,,,,,,,,,,,,,,,
3R8YZBNQ9IE7ZEIE2625A2NF6DXQ7D,I know. I'll clean it up as soon as I get home. Love you Mom!,A3MYTEE8WSEQ2Z,male,native,18-25,moderately,A298FAWY76NZA9,female,native,36-45,1,2,,,,,,,,,,,,,,,,,,,,,,
