AssignmentId,WorkerId,Input.TaskType,Input.Precision,Input.TreatmentTypes,Input.ConversationIds,Answer.accuracy,Answer.age,Answer.comment,Answer.discreet,Answer.effectiveness,Answer.efficiency,Answer.explanation,Answer.gender,Answer.intentuse,Answer.literacy,Answer.response-1,Answer.response-10,Answer.response-11,Answer.response-12,Answer.response-13,Answer.response-14,Answer.response-15,Answer.response-2,Answer.response-3,Answer.response-4,Answer.response-5,Answer.response-6,Answer.response-7,Answer.response-8,Answer.response-9,Answer.satisfaction,Answer.transparency,Answer.trust,Answer.useful,Approve,Reject
3X87C8JFV77TIC26Q90G5TJBTXAQSC,ASI2B6A3Y556Z,0,0.8,"[1,0,1,1,0,0,1,0,1,1,1,1,0,1,1]","[10,14,3,4,13,9,5,12,11,1,6,2,8,15,7]",neutral,36-45,{},strongagree,strongdisagree,strongdisagree,disagree,female,strongdisagree,native,Uh-oh.  Would it be better if I just come straight home?,Oh no!  That stinks!,With that attitude you'll be lucky if I even give you any.,"Yeah, I think I'm just a bit worn out from work.",I know.  What do you think we should do?,Ok.  I'll call you at 2.,It stinks that you had to do that.,Sorry.  I was in a rush to get to work.  It happens.,What did the jerk do this time?,I don't blame you.  It wasn't me though.,Are you thinking of breaking up with him first?,Hey no judgment here.,Oh man.  I had no idea.  I am so sorry.  I bet you'll find something else quickly.,"I guess I'll go with uber, so I can get there quicker.  I'm sorry.  I promise I'll make it up to you.",Hey. What's up?,neutral,disagree,neutral,disagree,,
38F5OAUN5O8UMLJBJGFB1OVEFW47HD,A1601UNFFAAQOI,0,0.9,"[1,1,0,1,1,1,0,0,1,1,0,1,0,1,1]","[15,6,9,1,7,5,12,14,2,8,11,4,13,10,3]",agree,26-35,{},agree,disagree,disagree,disagree,female,strongdisagree,native,"Uh oh. What's going on? If you need help, I can come home instead.",That sucks! Get thee to a hand dryer and godspeed :(,I'll bring extra sauce to make it up to you--sorry again and see you soon!,"I'm fine, just not up to being around people. Sorry for cancelling again, I know it's terrible.","I know, I'm sorry. It was all they had left unfortunately.",Perfect! I'll ring you then.,Sorry this is happening to you! Let me know if there is anything else I can do to help.,"I'm sorry, it totally slipped my mind. I'll make sure to clean everything really well when I get back.",He's ridiculous! You need to starting looking for a new position!,I didn't say anything; I'm sorry dude. Maybe she saw pics?,"That's so horrible, you must be so upset. Want to get a drink tonight and talk?",I won't judge! Well we should get a coffee sometime then lol,"Paula, I'm so sorry, I had no idea. If you want to talk, I'd be happy to get together.",Really sorry to be running late; I'll take an Uber so I get there faster. I'll make it up to you; promise!,Hey Jeremy--what's up? How can I help?,agree,agree,disagree,neutral,,
3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0,A1PY05TVYSN7LI,0,0.6,"[1,1,1,1,1,1,1,0,0,0,1,1,0,0,1]","[13,12,6,15,1,5,7,14,4,8,11,10,9,2,3]",agree,26-35,{},agree,strongagree,strongagree,agree,male,strongagree,native,"Oh, then meet on park","Oh, Then what did you do?",Did you get angry for this small issue?,"No Ruby, I am okay",What problem?,Is that too important?,Do you really lost your wallet?,"come on mom, How I control ants when I am here.",Is your boss torturing you?,"Oh, I am sorry dude, but this makes me laugh",Don't think about Dave anymore.,It is okay,What? why I lucky?,K. bye,What do you need from me jeremy?,neutral,disagree,strongagree,agree,,
3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG,A3SG23IVI6PS0L,0,0.7,"[0,1,1,0,1,0,1,0,1,1,0,1,1,1,1]","[9,10,1,14,12,13,15,2,11,3,8,5,6,7,4]",agree,26-35,{},strongagree,disagree,disagree,disagree,female,disagree,native,Thanks for the warning!,I am so sorry to hear that!,I will hurry.,"I am sorry, I have a lot going on right now.","I agree, what should we do?",Great!,That is a good plan. I hope you find them.,I am so sorry mom. I will take care of it.,I'm sorry to hear it.,"It wasn't me, I swear!",Break up with him first!,You are forgiven my child.,I am so sorry.,K. is not an answer.,I would be happy to help you.,agree,agree,agree,disagree,,
3WS1NTTKEZ8WQESL3R62JO9ER3J0F6,A267GLM78AMQ75,0,0.8,"[1,1,1,1,1,1,0,0,1,0,1,0,1,1,0]","[10,1,2,6,15,3,12,14,5,13,7,9,4,11,8]",strongagree,26-35,{},strongagree,strongagree,strongagree,disagree,male,strongagree,native,i'll help you clean it when i get home.,do you want me to bring you clean clothes?,Relax bro or else i'm gonna eat your food :o,"i'm just in a funk right now, i cant really explain it","I agree, what should we do?",Thanks (:,"good idea, i'll help you look as well","sorry mom, i'll take care of it",just be courteous and don't get fired,Why would anyone tell her and who else did she tell?,He is a moron and doesn't deserve you.,"god forgives, i don't",I'm sorry to hear that. You definitely did not deserve to get laid off.,Why are you texting me like that?,What's up Jeremy?,strongagree,strongagree,strongagree,strongagree,,
3FE7TXL1LJJ0DDL8WULAEB67V3C2QM,A2CHDWKAYZ3P3E,0,0.9,"[1,0,1,0,1,1,1,1,0,0,1,1,1,1,0]","[8,9,15,11,2,1,6,4,12,14,7,3,5,10,13]",agree,26-35,Great study!,,agree,agree,strongagree,male,agree,native,Do you want me to just come home instead of going for drinks?,Go home and change clothes. You'll be okay.,I'm sitting on them so they'll be warm LOL,I'm fine. I'm just not up for it right now.,Then what are we going to do? Do you have another way to get tickets?,"Ok, cool. I'll call you then.",Are you upset with me about this?,I'm sorry. I won't let this happen again.,Don't let him get to you. Just keep your emotions under control.,"I'm sorry, but it wasn't me.",It's ok. You'll find someone else then you wont even have to worry about it.,I wasn't saying any of this to upset you.,I'm glad too. Don't sweat it though.,Are you upset with me?,"Seriously, are you just going to ignore me?",strongagree,strongagree,agree,agree,,
3P59JYT76MGD5TD0DYF5JGHUFAB2T0,A3609GDWR2JCCA,0,0.6,"[0,1,1,0,1,0,1,1,1,1,1,0,0,1,1]","[4,13,5,2,15,8,10,6,1,7,11,14,9,12,3]",neutral,26-35,{},agree,neutral,disagree,agree,female,neutral,native,"no worries, probably no worse than my place",oh man that sucks!,shut up before I eat them all haha,not really. everything sucks right now...,well what should I do? that's all I could get,cool I'll call then,hopefully someone turns it in soon. have you retraced your steps from the last time you had it?,sorry mom I got so busy and it completely slipped my mind,bosses can be stupid. hang in there!,I wonder who it was,that sucks but if he was going to do it on that day he's probably a crappy guy and you deserve better,lol can you drink tea on that diet? maybe try that instead,wow Paula I'm so sorry that sucks...,um...k...,yeah what's up?,neutral,disagree,agree,agree,,
32UTUBMZ7HSM6YHL1M8VLR8J613VBA,A19UBZFVUWL1ES,0,0.7,"[1,0,1,0,1,1,1,1,1,0,0,1,1,1,0]","[15,2,4,8,11,6,12,7,3,13,9,5,1,10,14]",neutral,46-55,{},disagree,disagree,disagree,neutral,male,strongdisagree,native,"omg, forget drinks, i'll be home to help soon",that SUCKS,first world problems...,"I'm ok, just not up for going out.  call me later","i know, didn't know what to do though",talk to you then,"Good thinking, that sucks though","Sorry, I'll clean them up asap","you should be looking, can't hurt to have options","don't blame you, wasn't me man...",leave him,all is forgiven :),"no way, that sucks so bad.  i'm sooooo sorry","i'll hurry, see ya soon","sorry, what's up?",neutral,agree,strongdisagree,disagree,,
3EFE17QCRD1G5J337JDMWFRA2AESHI,A13HZKB2NGZP6B,0,0.8,"[1,1,1,1,0,0,1,1,1,0,1,1,0,0,1]","[1,15,4,7,14,13,6,10,11,8,3,5,12,9,2]",neutral,18-25,None.,agree,disagree,disagree,agree,female,disagree,native,Are you okay?,Wow that's so rude of them.,I'll make super sure they're cold once I get there.,Not really.,"Yeah, I tried looking at other websites but I couldn't find anything.","Alright, I'll call you later then.","Aw dang, I hope you find it soon.",Sorry I'll take it out later.,He's such as jerk.,I didn't tell her.,That's really rude of him to do that.,Lmao it's okay.,I'm so sorry.,Which one?,What is it?,neutral,strongdisagree,disagree,disagree,,
3J4Q2Z4UTZZMPTJFAEAH2IMWZA6QWR,A2FLOH4DM8A4ZS,0,0.9,"[1,0,1,0,1,0,1,0,0,1,1,1,1,1,1]","[5,13,2,12,6,11,7,14,9,10,1,4,3,8,15]",strongdisagree,26-35,{},strongagree,strongdisagree,strongdisagree,strongagree,male,strongdisagree,native,"As long as there's room to sit, I think it'll be alright.",I don't think an umbrella would've saved you there.,Better cold than me eating them before I get there if this takes any longer.,"I'm fine, I like to keep to myself.",What do you want to do about it?  I can probably pass if we can't find a third.,"Alright, I'll call you in a bit.","I said not to worry about it, whether you have credit cards doesn't matter.  Just find your wallet.","Forgetfulness is a trait, its not something you raised.","You keep your job for money, obviously.  If you aren't worried about your job, grind it back.  Tell him how you feel, or take it up to the person above him.",Maybe ask her where she found out.,"Go talk to him.  If that's what he wants, there's no sense in waiting until valentines to do it.","Its not me who has to forgive them, if you give up you only have yourself to blame.","I don't know yet, I haven't gone to work today nor have I received a call.","Don't be a bitch, Sarah.",Help with what?,strongdisagree,strongdisagree,strongdisagree,strongdisagree,,
3HQUKB7LNGARFAPNWP1NS1K8TZ2HHR,A98E8M4QLI9RS,0,0.6,"[0,1,1,1,1,0,1,0,1,1,1,1,0,1,0]","[14,13,1,6,5,2,12,9,10,3,7,15,4,11,8]",agree,46-55,Thank you for the opportunity to participate in this fun study,strongagree,agree,disagree,agree,female,agree,native,"Uh oh, ok. Thanks for the warning. Would you prefer that I came home right after work?",Yikes! I'm sorry that happened. Do you need me to bring you dry clothes?,"I know, right!? Cold chicken nugget are the worst. I'll come straight home after getting them so hopefully they will still be warm.",I'm ok. Work has just been really stressful for the past few weeks and by the time I get home I'm tired and don't want to do anything but relax.,I'm really sorry. I tried but that is all they had available. Do you not want to go now?,"Ok, I'll call you at 2. Stay near your phone.",That is such a hassle. I hope you end of finding it. Was your driver's license in your wallet too?,I'm sorry. I totally forgot. I'll be home in a few minutes and take care of it.,That really stinks. You should really consider trying to find a new job. It's not worth it to be stressed out like that all the time.,I don't blame you. She'll get over it though. You should take her out to dinner to make up for it and talk it over with her.,You should break up with the jerk first. How did you find out?,It's ok. I completely understand how difficult that might be. Don't give up though.,Oh my gosh! I'm so sorry. What are you going to do now?,"K? Uber or bus to you think? Uber would probably be faster, don't you think?",I'm here. What's wrong Jeremy? Are you ok?,agree,disagree,agree,agree,,
3SKEMFQBZ41POPP2Z6AESG71IXC8K3,A1HRHFU7KTS0KW,0,0.7,"[0,1,1,1,1,0,1,0,1,0,0,1,1,1,1]","[8,7,3,4,15,13,1,14,5,9,2,10,11,6,12]",neutral,18-25,{},agree,neutral,disagree,agree,female,disagree,native,C'mon don't be like that,Like in the movies? that's funny,They won't.. I hope,Maybe we can talk later,Got any idea?,I'll call you then,"That's good, I hope you find it tho",It's not a big deal,That seems tough,"I didn't, no idea who did",You should break up with him,Haha it's alright,I'm so sorry to hear that,That's not an answer,"Sure, what's going on?",neutral,agree,neutral,neutral,,
336KAV9KYRO9MFCUN424RX99UCT2YP,AHT1HZRFZEIU2,0,0.8,"[1,0,0,1,0,1,1,1,1,1,0,0,1,1,1]","[6,14,9,10,13,1,5,7,15,4,8,12,11,2,3]",disagree,26-35,interesting study,agree,strongdisagree,strongdisagree,agree,female,strongdisagree,native,So I should just come home?...,Ugh that sucks. Do you need me to bring a change of clothes for you??,you got it man,Meh. I just don't feel like myself.,Maybe we will be able to find a ticket at the door,"Ok sounds good, talk to ya at 2pm",That was smart. Hopefully it turns up,I'm so sorry Mom. I'll be sure to take it out next time,Want to grab a drink after your shift to chill out?,Dude it wasn't me... I hope she gets over it quickly,I would just break it off before he does,Your sins are absolved... as long as there's a venti latte for me,I'm so sorry. let me know if you need anything,I'm sorry! I'll get there as soon as I can.,Sorry man I was busy. what's up,disagree,agree,disagree,disagree,,
3A1COHJ8NKRYMZOUTL7HFOR9QGAH8A,A142ZRU284W9O,0,0.9,"[1,1,0,1,0,0,0,1,1,1,1,1,1,0,1]","[6,4,13,15,9,14,12,7,10,3,1,2,5,11,8]",disagree,36-45,{},disagree,disagree,disagree,disagree,male,disagree,native,Lol ok.,Sorry that happened to you!,I'm on the way.,I don't know.,I'm sorry.,"Okay, talk to you soon.",I can check around here.,I'm sorry!,"Aw, sorry :(",I didn't tell her.,"Yeah, that's terrible!","Lol, okay.","Aw, I'm sorry!",I'll be there soon.,"Sorry, what's up?",disagree,disagree,disagree,disagree,,
3ZDAD0O1T29E69GX1N0Y96BQSJBXT5,A1WTIPXQDJIMUI,0,0.6,"[1,0,1,0,1,1,1,1,0,0,1,1,1,0,1]","[7,2,6,8,3,10,1,11,14,4,12,15,5,9,13]",disagree,18-25,{},agree,strongdisagree,strongdisagree,strongdisagree,male,strongdisagree,profession,That's nothing new.,"Oh no! That's like something you see in movies, haha.","That's not really up to me, but I'll do my best.",You can tell me.,"Not really. Have fun staying at home, bud.","Okay cool, I'll let you know when I'm free.","That's a good idea, always a hassle though.",I don't think the ants are there because I forgot the trash one day. You should keep your house cleaner.,Is he unfair?,Looks like we've got a narc hanging around.,Cut him off. Throw all his stuff away if there's any around. Block him on everything.,"Haha, well we've all got our vices.","Oh my gosh, no! Did they tell you why?","Ooh, that stings. I'll make it up to you, I promise.","Watcha need, bud?",strongdisagree,agree,strongdisagree,strongdisagree,,
3KGTPGBS6YHS56SPD35FOC3WYOI2UR,AK5AFB4VLBCGK,0,0.7,"[1,1,1,1,0,1,0,0,1,1,1,0,1,0,1]","[12,15,4,6,8,3,13,9,11,1,7,2,5,14,10]",disagree,26-35,Nice study.,agree,neutral,neutral,neutral,male,strongagree,profession,What are you doing now.,Ho no. Are you sure.,Thanks.,No.,Yes this is a problem.,Thanks.,Don't do this.,I am really sorry.,Thanks.,I can't believe.,Again go to Dave and tell some emotional word.,Okay.,Sure. You are right.,I will wait for you.,Yes. Sure.,strongagree,agree,agree,agree,,
3G5F9DBFOQTWXBK71EIR72BH1E8HVC,A1VZSFHTU51JP0,0,0.8,"[1,1,0,0,1,1,1,0,1,1,1,1,1,0,0]","[1,4,9,12,6,10,5,14,7,11,15,3,2,8,13]",agree,26-35,{},agree,disagree,strongdisagree,neutral,male,disagree,native,"If I need to come home instead, just let me know.",What a jerk.,"Don't worry, they won't be","Yeah, I'm fine. I just have been anti-social recently.",Yeah. We'll figure something out,"Okay, talk to you then",Better safe than sorry,I'm really sorry. I'll take care of it when I get back,I know how you feel,"Wow, that's too bad. It sure wasn't me though",That's horrible. I'm here if you need to talk at any point,It'll be our secret :),"Oh wow, I'm so sorry. Are you okay?",Ok... I'll figure it out on my own :),"Sorry, I was busy. How can I help?",agree,agree,agree,strongdisagree,,
3ZY8KE4ISKZ9A4JAK45LGG3IS14QVH,A16SJ5D3DKUEXJ,0,0.9,"[1,1,1,1,0,1,1,0,0,1,0,1,1,0,1]","[10,6,8,7,12,2,15,9,14,5,11,3,4,13,1]",disagree,36-45,Thanks for the opportunity,agree,neutral,neutral,agree,female,neutral,native,What can I do to help?,"Yikes, sorry that happened to you!",Right?  First world problems...=),"Yeah, sorry, just working through some stuff.",I know.  Can we talk about this in person?,"Ok, talk soon.",Good idea - can't be too careful these days!,"Sorry mom, I'll try to remember next time.",Time for job hunting!,"Sorry dude, wasn't me.",Beat him to the punch and break up with him first?!,No judgement here!  I could never even think of giving up coffee.,I'm so sorry to hear that.  How can I help?,I'll take an Uber and get there asap.  Sorry about this!,What do you need help with?,disagree,disagree,disagree,neutral,,
3HSYG7LRBKU9JQR38V7HILGSDXDKK5,A4A0IFEQBBSOZ,0,0.6,"[1,0,0,0,0,1,1,1,1,1,1,0,1,1,1]","[7,14,2,9,4,10,13,1,6,11,15,8,12,5,3]",agree,46-55,{},neutral,disagree,neutral,disagree,male,strongdisagree,native,Should I cancel drinks?,"Oh, poor you!",I'll try to be fast.,"I'm sorry, I'm having a rough time.",I know! What do we do?,Cool. I'll talk to you then.,"Oh, I'm sorry, that's a drag.",I totally forgot.,Ugh. I can't believe him!,That sucks. Wasn't me.,He doesn't deserve you.,"It's ok, I wasn't judging!",OMG! I am so sorry!,I'll uber and get there as quickly as I can.,Sorry. I was in the shower.,agree,neutral,disagree,disagree,,
3ZPBJO59KQXA3UKLATIX1G5A17DDHI,A2DSQT79EPX7MY,0,0.7,"[0,1,0,0,0,1,1,1,1,1,1,1,1,0,1]","[2,4,9,8,14,1,10,15,5,3,11,6,7,13,12]",neutral,18-25,{},agree,disagree,strongdisagree,neutral,female,strongdisagree,native,What's going on?,Typical :(,Lol I'll try to be quick,Don't really want to talk about it,"Yeah, what should we do",Talk to you then,Good,"I'm sorry, I'll take care of it",You should start looking for a better job,Well it wasn't me,Screw him,what'd you get from starbucks?,I'm so sorry :(,What's wrong?,What's wrong?,neutral,agree,agree,disagree,,
3TAYZSBPLM4CQT0LOYAF9BL8DRX2SB,A28FMRMS9TMEOZ,0,0.8,"[1,0,0,1,1,1,0,1,0,1,0,1,1,1,1]","[4,14,12,10,6,3,13,7,8,15,9,1,5,2,11]",neutral,18-25,{},agree,agree,agree,neutral,male,neutral,native,That's okay.,Im sorry that happened to you.,Sorry about the wait.,"Yes, I am okay.","I agree, we need to figure out something.",Thank you for understanding.,Cancel it now so you won't forget.,Sorry about that.,You should quit your job.,You need to calm down.,Just don't talk to him.,That's okay.,I'm sorry what happened to you.,Are you okay?,What do you need?,agree,agree,neutral,agree,,
3WYGZ5XF3XB7794BD4GJ9772URISKM,A1D3QRG52OISSR,0,0.9,"[1,0,1,1,0,1,1,0,0,1,0,1,1,1,1]","[3,9,10,1,11,15,7,13,12,4,14,8,2,6,5]",agree,26-35,{},strongagree,strongagree,agree,neutral,male,agree,native,"that bad, what happened?","damn, that is bad","they wouldn't,  see you in 5","Yeah, I am fine. just not in the mood.","Yeah, I know. What can we do?","All right, will call at 2pm",That's bad. anything I can do to help?,"I'm so sorry, I just got so busy with stuff that I totally forgot.",what a piece of work,"sorry man, I sure didn't tell her.",you should totally dump that loser.,"Chill girl, I was just asking.","sorry, that's totally unfair to you.","sorry for the delay, I'm taking the uber and will be there shortly.","sure, what do you need?",agree,agree,neutral,agree,,
39JEC7537VX5G39RFM4QWBE1OM3VCH,AM8OWAW9TUVLN,0,0.6,"[0,1,0,1,0,1,1,1,1,0,1,1,0,1,1]","[2,11,4,10,9,5,12,6,3,8,15,7,14,13,1]",agree,26-35,Thanks,neutral,neutral,agree,agree,male,neutral,native,why?,dang thats bad,relax man,yes im okay,why is that?,thank you!,good idea,Sorry about that!,oh yea,wonder who told her,dang that sucks,lol what,lucky you,prob the bus,whats wrong?,agree,neutral,neutral,agree,,
