"ResponseId","Response","J_WorkerId","J_Gender","J_Literacy","J_Age","Empathy","R_WorkerId","R_Gender","R_Literacy","R_Age","Treatment","ConversationId","Confidence","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X0","Round"
"11","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Absolutely - what's going on?","A19LVWX8ZLO6CS","male","native","36-45",1,"APUPF3D94XYUQ","female","native","36-45","0","9","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"12","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Absolutely - what's going on?","AQVXVMX61864S","male","native","26-35",2,"APUPF3D94XYUQ","female","native","36-45","0","9","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"13","3137ONMDKH11V43AMIBZMYBUMRSGEM","Drinking can wait, I'll be home soon.","A2PZB9LF450MVX","female","native","26-35",1,"A1PAMVTKGCXSWQ","male","native","18-25","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"14","3137ONMDKH11V43AMIBZMYBUMRSGEM","Drinking can wait, I'll be home soon.","A23PQPECIUVKHC","male","native","26-35",5,"A1PAMVTKGCXSWQ","male","native","18-25","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"15","3137ONMDKH11V43AMIBZMYBUMRSGEM","Drinking can wait, I'll be home soon.","A1B76WYZ47BQJ","male","native","46-55",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"16","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hate the rain!","A1ZRK6K5JUPJAV","male","native","36-45",2,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"17","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hate the rain!","AL5YST63LLYWK","female","native","26-35",4,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"18","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hate the rain!","ASTWEY4TK6TFM","female","native","36-45",2,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"19","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, I'm doing it right now.","A3AV8KOZW78IEW","female","native","36-45",4,"A1PAMVTKGCXSWQ","male","native","18-25","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"20","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, I'm doing it right now.","A19D89YNO9Z52K","female","native","18-25",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"21","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, I'm doing it right now.","A1ZRK6K5JUPJAV","male","native","36-45",5,"A1PAMVTKGCXSWQ","male","native","18-25","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"22","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","With my speed? Nah.","AAL9C3HQU74I2","male","native","18-25",3,"A1JVWOBGNA6KJT","male","native","46-55","0","11","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"23","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","With my speed? Nah.","AD317NO9623GZ","female","native","36-45",3,"A1JVWOBGNA6KJT","male","native","46-55","0","11","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"24","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","With my speed? Nah.","A1B76WYZ47BQJ","male","native","46-55",2,"A1JVWOBGNA6KJT","male","native","46-55","0","11","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"25","3137ONMDKH11V43AMIBZMYBUMRSGEM","Damn, sorry that's happening, if you need anything, let me know.","A2PZB9LF450MVX","female","native","26-35",1,"A1PAMVTKGCXSWQ","male","native","18-25","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"26","3137ONMDKH11V43AMIBZMYBUMRSGEM","Damn, sorry that's happening, if you need anything, let me know.","A82RLSJJXBKE8","female","native","18-25",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"27","3137ONMDKH11V43AMIBZMYBUMRSGEM","Damn, sorry that's happening, if you need anything, let me know.","A1XQ7Y5CBAS43K","female","native","36-45",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"28","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Shut up :P","A82RLSJJXBKE8","female","native","18-25",4,"APUPF3D94XYUQ","female","native","36-45","0","11","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"29","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Shut up :P","A2ELDYT1S772YH","male","profession","56-65",5,"APUPF3D94XYUQ","female","native","36-45","0","11","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"30","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Shut up :P","A2DF1NCVJ8V8K2","female","profession","56-65",3,"APUPF3D94XYUQ","female","native","36-45","0","11","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"31","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","I'm feeling a bit depressed lately.","A3P6IXUM1ND35A","male","native","26-35",2,"A1JVWOBGNA6KJT","male","native","46-55","0","12","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"32","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","I'm feeling a bit depressed lately.","A2PZB9LF450MVX","female","native","26-35",3,"A1JVWOBGNA6KJT","male","native","46-55","0","12","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"33","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","I'm feeling a bit depressed lately.","A166A2M31CW2C7","male","native","26-35",2,"A1JVWOBGNA6KJT","male","native","46-55","0","12","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"34","3137ONMDKH11V43AMIBZMYBUMRSGEM","Nah, dude, wasn't me. Sorry that happened though.","A2MMMYB7AE5RQN","male","native","26-35",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","4","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"35","3137ONMDKH11V43AMIBZMYBUMRSGEM","Nah, dude, wasn't me. Sorry that happened though.","A3MD34XEB4H6JF","female","native","46-55",5,"A1PAMVTKGCXSWQ","male","native","18-25","2","4","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"36","3137ONMDKH11V43AMIBZMYBUMRSGEM","Nah, dude, wasn't me. Sorry that happened though.","AQVXVMX61864S","male","native","26-35",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","4","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"37","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Idk - just need some time to myself.  Go on without me.  Ttyl","A17HFDRWYZL1CD","male","native","18-25",3,"APUPF3D94XYUQ","female","native","36-45","0","12","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"38","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Idk - just need some time to myself.  Go on without me.  Ttyl","A104V8NZIQFN2F","male","native","36-45",4,"APUPF3D94XYUQ","female","native","36-45","0","12","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"39","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Idk - just need some time to myself.  Go on without me.  Ttyl","A35X5BSOQNPJMR","gender-na","profession","age-na",3,"APUPF3D94XYUQ","female","native","36-45","0","12","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"40","3137ONMDKH11V43AMIBZMYBUMRSGEM","Break up with him first, the day before Valentines, ruin his plan.","AQVXVMX61864S","male","profession","26-35",5,"A1PAMVTKGCXSWQ","male","native","18-25","2","5","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"41","3137ONMDKH11V43AMIBZMYBUMRSGEM","Break up with him first, the day before Valentines, ruin his plan.","A39N860RODN562","female","native","18-25",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","5","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"42","3137ONMDKH11V43AMIBZMYBUMRSGEM","Break up with him first, the day before Valentines, ruin his plan.","A17HFDRWYZL1CD","male","native","18-25",2,"A1PAMVTKGCXSWQ","male","native","18-25","2","5","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"43","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Yeah, can you pitch is some more money?","A3CENIDTHHT4R8","female","native","46-55",3,"A1JVWOBGNA6KJT","male","native","46-55","0","13","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"44","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Yeah, can you pitch is some more money?","A1QSTGFG23OZHT","female","native","18-25",3,"A1JVWOBGNA6KJT","male","native","46-55","0","13","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"45","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Yeah, can you pitch is some more money?","A82RLSJJXBKE8","female","native","18-25",2,"A1JVWOBGNA6KJT","male","native","46-55","0","13","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"46","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Talk to you then.","A1QSTGFG23OZHT","female","native","18-25",5,"A1JVWOBGNA6KJT","male","native","46-55","0","14","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"47","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Talk to you then.","A19LVWX8ZLO6CS","male","native","36-45",4,"A1JVWOBGNA6KJT","male","native","46-55","0","14","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"48","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Talk to you then.","A3CENIDTHHT4R8","female","native","46-55",4,"A1JVWOBGNA6KJT","male","native","46-55","0","14","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"49","3137ONMDKH11V43AMIBZMYBUMRSGEM","You're good, I was just curious if it was you!","A1OFPROOWWSHUF","male","native","26-35",5,"A1PAMVTKGCXSWQ","male","native","18-25","3","6","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"50","3137ONMDKH11V43AMIBZMYBUMRSGEM","You're good, I was just curious if it was you!","A82RLSJJXBKE8","female","native","18-25",4,"A1PAMVTKGCXSWQ","male","native","18-25","3","6","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"51","3137ONMDKH11V43AMIBZMYBUMRSGEM","You're good, I was just curious if it was you!","A219VCQZADQ45W","female","native","56-65",2,"A1PAMVTKGCXSWQ","male","native","18-25","3","6","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"52","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","I know - not sure what to do now :(","AL5YST63LLYWK","female","native","26-35",4,"APUPF3D94XYUQ","female","native","36-45","0","13","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"53","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","I know - not sure what to do now :(","A2U31V169A20GY","female","native","26-35",3,"APUPF3D94XYUQ","female","native","36-45","0","13","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"54","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","I know - not sure what to do now :(","A2T11H7YI7QPGD","male","native","26-35",2,"APUPF3D94XYUQ","female","native","36-45","0","13","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"55","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Good idea.","A104V8NZIQFN2F","male","native","36-45",1,"A1JVWOBGNA6KJT","male","native","46-55","0","15","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"56","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Good idea.","A2T11H7YI7QPGD","male","native","26-35",2,"A1JVWOBGNA6KJT","male","native","46-55","0","15","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"57","31JLPPHS2VQMDJ4BLH7B8GGZMWC3O4","Good idea.","A340UGIDGIF4W6","female","native","36-45",3,"A1JVWOBGNA6KJT","male","native","46-55","0","15","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"58","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Ok - call you in a bit","A2BIZNP74JU80U","female","native","36-45",2,"APUPF3D94XYUQ","female","native","36-45","0","14","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"59","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Ok - call you in a bit","AL5YST63LLYWK","female","native","26-35",2,"APUPF3D94XYUQ","female","native","36-45","0","14","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"60","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","Ok - call you in a bit","A15WCNO32MHBAF","male","native","56-65",5,"APUPF3D94XYUQ","female","native","36-45","0","14","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"61","3137ONMDKH11V43AMIBZMYBUMRSGEM","I'm so sorry that happened, I had no idea.","A3GNQDFPZALU92","male","native","26-35",5,"A1PAMVTKGCXSWQ","male","native","18-25","3","7","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"62","3137ONMDKH11V43AMIBZMYBUMRSGEM","I'm so sorry that happened, I had no idea.","A231ZFAME6FLN","female","native","36-45",5,"A1PAMVTKGCXSWQ","male","native","18-25","3","7","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"63","3137ONMDKH11V43AMIBZMYBUMRSGEM","I'm so sorry that happened, I had no idea.","A19D89YNO9Z52K","female","native","18-25",2,"A1PAMVTKGCXSWQ","male","native","18-25","3","7","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"64","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, I think I'll pass! I'm not in the mood for a warzone.","A3Q9MCOULHCS4S","female","profession","36-45",3,"ATIAMDY7P54P","female","native","56-65","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"65","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, I think I'll pass! I'm not in the mood for a warzone.","A27M4UQJMN22N4","male","native","18-25",2,"ATIAMDY7P54P","female","native","56-65","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"66","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, I think I'll pass! I'm not in the mood for a warzone.","A3GNQDFPZALU92","male","native","26-35",3,"ATIAMDY7P54P","female","native","56-65","2","1","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"67","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hope it turns up.","A231ZFAME6FLN","female","native","36-45",2,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"68","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hope it turns up.","A1JS7D8496047N","female","native","26-35",2,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"69","3COPXFW7XC8AUHOJLNCPE22R7K5KPI","That stinks!  I hope it turns up.","AD317NO9623GZ","female","native","36-45",5,"APUPF3D94XYUQ","female","native","36-45","0","10","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"70","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, do you still want me to come...?","A2DF1NCVJ8V8K2","female","profession","56-65",4,"A1PAMVTKGCXSWQ","male","native","18-25","3","8","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"71","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, do you still want me to come...?","A166A2M31CW2C7","male","native","26-35",2,"A1PAMVTKGCXSWQ","male","native","18-25","3","8","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"72","3137ONMDKH11V43AMIBZMYBUMRSGEM","Sorry, do you still want me to come...?","A19LVWX8ZLO6CS","male","native","36-45",5,"A1PAMVTKGCXSWQ","male","native","18-25","3","8","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"73","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.","A19D89YNO9Z52K","female","native","18-25",1,"ATIAMDY7P54P","female","native","56-65","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"74","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.","AFNED08Y4A2WP","male","native","18-25",5,"ATIAMDY7P54P","female","native","56-65","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"75","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Mom, I'm sorry, please forgive me. I won't forget anymore. I promise.","A82RLSJJXBKE8","female","native","18-25",5,"ATIAMDY7P54P","female","native","56-65","2","2","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"76","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, you just need to calm down and consider your next move.","A19LVWX8ZLO6CS","male","native","36-45",2,"ATIAMDY7P54P","female","native","56-65","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"77","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, you just need to calm down and consider your next move.","AQVXVMX61864S","male","native","26-35",5,"ATIAMDY7P54P","female","native","56-65","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"78","3VZLGYJEYM6ASLPW7FPGVUC7DS8ZXO","Well, you just need to calm down and consider your next move.","A2T11H7YI7QPGD","male","native","26-35",2,"ATIAMDY7P54P","female","native","56-65","2","3","HighLow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"79","3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I'll prepare myself","ADLF8HVS3C7IL","male","native","18-25",4,"A39Q4SNT7SRK94","male","native","26-35","2","1","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"80","3NJM2BJS4X2SBJCVTAVRQJPJ2CZCP2","I'll prepare myself","AQVXVMX61864S","male","native","26-35",1,"A39Q4SNT7SRK94","male","native","26-35","2","1","HighOnly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
