Input.TaskType,Input.Condition,Input.TreatmentType,Input.ConversationId,Input.ResponseId,Input.Response,Answer.age,Answer.comment,Answer.empathy,Answer.fakeinput,Answer.gender,Answer.literacy,Approve,Reject
1,None,0,1,3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,26-35,{},none,{},male,native,,
1,None,0,1,3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,36-45,{},slightly,{},female,native,,
1,None,0,1,3RU7GD8VPPP8I01RQWLR5OT1OSAPSO,Want me to just head home?,26-35,{},moderately,{},male,native,,
1,None,0,1,3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,36-45,{},moderately,{},female,native,,
1,None,0,1,3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,18-25,{},extremely,{},female,native,,
1,None,0,1,3VNXK88KKDE3I52O32UZULDTIWE9VI,Well then you could use some time to relax.,46-55,{},slightly,{},female,native,,
1,None,0,1,3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,36-45,{},none,{},male,native,,
1,None,0,1,3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,46-55,{},none,{},female,native,,
1,None,0,1,3WJEQKOXA9Y11CWVOUOAJSHXZ5IA1S,Uh oh.  I think I'll stay out even longer tonight then.  Enjoy!,18-25,{},none,{},female,native,,
1,Default,1,1,32N49TQG3HEHNOCTV88ZQGODOAUVA9,Maybe I should just come straight home.,36-45,{},moderately,{},female,native,,
1,Default,1,1,32N49TQG3HEHNOCTV88ZQGODOAUVA9,Maybe I should just come straight home.,18-25,{},very,{},female,native,,
1,Default,1,1,32N49TQG3HEHNOCTV88ZQGODOAUVA9,Maybe I should just come straight home.,26-35,{},moderately,{},female,limited,,
1,Default,1,1,34YB12FSQZKZ7SVN3GZIZ6G3VFBMGH,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,18-25,{},very,{},male,native,,
1,Default,1,1,34YB12FSQZKZ7SVN3GZIZ6G3VFBMGH,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,18-25,{},extremely,{},male,profession,,
1,Default,1,1,34YB12FSQZKZ7SVN3GZIZ6G3VFBMGH,why are you so angry do you not want to have drinks after work?Why is the house a warzone ? What happened? do you need to talk?,26-35,{},moderately,{},female,native,,
1,Default,1,1,37QW5D2ZRHINC82A4FJGJ2YBZL4S87,What happened? Sorry to hear that.,18-25,{},very,{},male,profession,,
1,Default,1,1,37QW5D2ZRHINC82A4FJGJ2YBZL4S87,What happened? Sorry to hear that.,46-55,{},very,{},male,native,,
1,Default,1,1,37QW5D2ZRHINC82A4FJGJ2YBZL4S87,What happened? Sorry to hear that.,36-45,{},extremely,{},female,native,,
1,Default,1,1,37TRT2X24RNDF3HRKXUCI3XPB8QJBV,Oh my gosh! Is there anything I can do?,26-35,{},slightly,{},male,native,,
1,Default,1,1,37TRT2X24RNDF3HRKXUCI3XPB8QJBV,Oh my gosh! Is there anything I can do?,46-55,{},very,{},female,native,,
1,Default,1,1,37TRT2X24RNDF3HRKXUCI3XPB8QJBV,Oh my gosh! Is there anything I can do?,36-45,{},extremely,{},female,native,,
1,Default,1,1,3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What wrong?,36-45,{},very,{},female,native,,
1,Default,1,1,3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What wrong?,26-35,{},slightly,{},male,native,,
1,Default,1,1,3BDCF01OGYQFN1Y2XAK96T8I06RLYS,What wrong?,36-45,{},slightly,{},female,native,,
1,Default,1,1,3BQU611VFQG5LYPL01P323OWR01990,"Maybe I'll just come home and help you out, you need anything from the store?",26-35,{},extremely,{},male,native,,
1,Default,1,1,3BQU611VFQG5LYPL01P323OWR01990,"Maybe I'll just come home and help you out, you need anything from the store?",18-25,{},very,{},male,profession,,
1,Default,1,1,3BQU611VFQG5LYPL01P323OWR01990,"Maybe I'll just come home and help you out, you need anything from the store?",36-45,{},extremely,{},female,native,,
1,Default,1,1,3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,No problem. I can come home and help you out instead. I can go out another time.,36-45,{},slightly,{},female,native,,
1,Default,1,1,3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,No problem. I can come home and help you out instead. I can go out another time.,26-35,{},extremely,{},male,native,,
1,Default,1,1,3E13VNJ1NORG7UFT0IGN0Q5GCDJI10,No problem. I can come home and help you out instead. I can go out another time.,18-25,{},extremely,{},male,profession,,
1,Default,1,1,3IKZ72A5B5CZBAKS4X80U05RZR0FNS,What's going on are you ok?,36-45,{},very,{},male,native,,
1,Default,1,1,3IKZ72A5B5CZBAKS4X80U05RZR0FNS,What's going on are you ok?,36-45,{},very,{},female,native,,
1,Default,1,1,3IKZ72A5B5CZBAKS4X80U05RZR0FNS,What's going on are you ok?,36-45,{},extremely,{},female,native,,
1,Default,1,1,3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,Oh no. Anything I can do to help?,46-55,{},very,{},female,native,,
1,Default,1,1,3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,Oh no. Anything I can do to help?,26-35,no,very,{},male,native,,
1,Default,1,1,3K9FOBBF2IFLB2UOQ8BYPDABWIINLR,Oh no. Anything I can do to help?,36-45,{},extremely,{},female,native,,
1,Default,1,1,3KXIR214I5CTO8YAYXEXB852Z3O24I,"Why? What's going on babe, how bad is it?",26-35,{},slightly,{},male,native,,
1,Default,1,1,3KXIR214I5CTO8YAYXEXB852Z3O24I,"Why? What's going on babe, how bad is it?",26-35,{},moderately,{},male,profession,,
1,Default,1,1,3KXIR214I5CTO8YAYXEXB852Z3O24I,"Why? What's going on babe, how bad is it?",46-55,{},slightly,{},male,native,,
1,Default,0,2,3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,I'm sorry mom.,36-45,{},very,{},female,native,,
1,Default,0,2,3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,I'm sorry mom.,36-45,{},moderately,{},male,native,,
1,Default,0,2,3OHYZ19UGD1MX43WUWMLVOU5SM8AO7,I'm sorry mom.,26-35,{},moderately,{},male,native,,
1,Default,0,2,3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,I'm sorry. It won't happen again.,36-45,{},slightly,{},female,native,,
1,Default,0,2,3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,I'm sorry. It won't happen again.,18-25,NO,slightly,{},male,profession,,
1,Default,0,2,3STRJBFXOXN8M9HQ24L9JC3OW1STKQ,I'm sorry. It won't happen again.,26-35,{},very,{},male,profession,,
1,Default,0,2,33PPO7FECWBAZPV5GB0I1S6P1F8DIH,I know mom sorry.,26-35,{},very,{},male,native,,
1,Default,0,2,33PPO7FECWBAZPV5GB0I1S6P1F8DIH,I know mom sorry.,36-45,{},moderately,{},female,native,,
1,Default,0,2,33PPO7FECWBAZPV5GB0I1S6P1F8DIH,I know mom sorry.,26-35,{},moderately,{},female,native,,
1,Default,0,2,351SEKWQS1DWV8LW1QYATLD6IKLMDR,Yes you did. I am sorry. It will never happen again.,26-35,{},very,{},male,native,,
1,Default,0,2,351SEKWQS1DWV8LW1QYATLD6IKLMDR,Yes you did. I am sorry. It will never happen again.,36-45,{},slightly,{},female,native,,
1,Default,0,2,351SEKWQS1DWV8LW1QYATLD6IKLMDR,Yes you did. I am sorry. It will never happen again.,26-35,{},moderately,{},male,native,,
1,Default,0,2,36ZN444YTSU13MMU6KEYCMIO5TOIOS,Lots of people get ants in their kitchen for no apparent reason.,46-55,{},none,{},female,native,,
1,Default,0,2,36ZN444YTSU13MMU6KEYCMIO5TOIOS,Lots of people get ants in their kitchen for no apparent reason.,26-35,{},none,{},female,native,,
1,Default,0,2,36ZN444YTSU13MMU6KEYCMIO5TOIOS,Lots of people get ants in their kitchen for no apparent reason.,26-35,{},none,{},male,native,,
1,Default,0,2,3HRMW88U17M2WOK2PEAFEETNOUZ0MX,i'll do it. it's fine,26-35,{},moderately,{},male,native,,
1,Default,0,2,3HRMW88U17M2WOK2PEAFEETNOUZ0MX,i'll do it. it's fine,36-45,{},none,{},female,native,,
1,Default,0,2,3HRMW88U17M2WOK2PEAFEETNOUZ0MX,i'll do it. it's fine,26-35,{},none,{},female,native,,
1,Default,0,2,3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,"Sorry,  I'll be right over to help clean it up.",36-45,{},moderately,{},female,native,,
1,Default,0,2,3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,"Sorry,  I'll be right over to help clean it up.",36-45,{},extremely,{},female,native,,
1,Default,0,2,3IKZ72A5B5CZBAKS4X80U05RZR7FNZ,"Sorry,  I'll be right over to help clean it up.",18-25,{},very,{},female,native,,
1,Default,0,2,3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,"i am so sorry mom, this will not happen again in future.",26-35,{},very,{},male,native,,
1,Default,0,2,3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,"i am so sorry mom, this will not happen again in future.",26-35,{},very,{},male,native,,
1,Default,0,2,3OLQQLKKNTLBM6TBUOW2JB3AE6QJEK,"i am so sorry mom, this will not happen again in future.",36-45,{},extremely,{},female,native,,
1,Default,0,2,3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,"Sorry, honest mistake. Won't happen again.",26-35,{},moderately,{},female,profession,,
1,Default,0,2,3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,"Sorry, honest mistake. Won't happen again.",26-35,{},extremely,{},female,native,,
1,Default,0,2,3QAPZX2QN59CPKG9FWRVZ5FPIVR02R,"Sorry, honest mistake. Won't happen again.",36-45,{},very,{},female,native,,
1,Default,0,2,3QY5DC2MXSGC60411YKM8VXL7NKUFQ,I am sorry I forgot to take out the trash. it wont happen again.,26-35,{},moderately,{},male,native,,
1,Default,0,2,3QY5DC2MXSGC60411YKM8VXL7NKUFQ,I am sorry I forgot to take out the trash. it wont happen again.,46-55,{},moderately,{},female,native,,
1,Default,0,2,3QY5DC2MXSGC60411YKM8VXL7NKUFQ,I am sorry I forgot to take out the trash. it wont happen again.,26-35,{},moderately,{},male,native,,
1,Default,1,2,3R0T90IZ1T8MY6JWQR54WABR1XNCGX,im sorry :/,36-45,{},none,{},female,limited,,
1,Default,1,2,3R0T90IZ1T8MY6JWQR54WABR1XNCGX,im sorry :/,36-45,{},slightly,{},female,native,,
1,Default,1,2,3R0T90IZ1T8MY6JWQR54WABR1XNCGX,im sorry :/,26-35,{},moderately,{},male,native,,
1,Default,1,2,3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry mom, I will take it out now",36-45,{},very,{},female,native,,
1,Default,1,2,3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry mom, I will take it out now",26-35,{},extremely,{},female,native,,
1,Default,1,2,3SBEHTYCWOZDX0QWC7NWEDGQJ2XYIR,"Sorry mom, I will take it out now",18-25,{},extremely,{},male,native,,
1,Default,1,2,3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,"I'm sorry, I'll take care of it now.",26-35,{},moderately,{},male,native,,
1,Default,1,2,3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,"I'm sorry, I'll take care of it now.",36-45,{},moderately,{},female,native,,
1,Default,1,2,3TAYZSBPLM4CQT0LOYAF9BL8DMI2SM,"I'm sorry, I'll take care of it now.",46-55,{},extremely,{},female,native,,
1,Default,1,2,33LK57MYLU12W43XD5JTWMVFYRGZSI,I am so sorry. It won't happen again! I was late for school and forgot.,36-45,{},very,{},male,native,,
1,Default,1,2,33LK57MYLU12W43XD5JTWMVFYRGZSI,I am so sorry. It won't happen again! I was late for school and forgot.,36-45,{},very,{},female,native,,
1,Default,1,2,33LK57MYLU12W43XD5JTWMVFYRGZSI,I am so sorry. It won't happen again! I was late for school and forgot.,36-45,{},moderately,{},female,native,,
1,Default,1,2,34S9DKFK74L5B11N9N0OJLC75YBNYA,Sorry mom. I will make sure to take it out next time you ask.,26-35,{},moderately,{},female,native,,
1,Default,1,2,34S9DKFK74L5B11N9N0OJLC75YBNYA,Sorry mom. I will make sure to take it out next time you ask.,26-35,{},slightly,{},female,profession,,
1,Default,1,2,34S9DKFK74L5B11N9N0OJLC75YBNYA,Sorry mom. I will make sure to take it out next time you ask.,26-35,{},extremely,{},female,native,,
1,Default,1,2,352YTHGROW9X3Y1SHIH4YCB4OL3H4A,I'm sorry mom.  I'll make up for it tomorrow.,36-45,{},extremely,{},female,native,,
1,Default,1,2,352YTHGROW9X3Y1SHIH4YCB4OL3H4A,I'm sorry mom.  I'll make up for it tomorrow.,26-35,{},moderately,{},male,native,,
1,Default,1,2,352YTHGROW9X3Y1SHIH4YCB4OL3H4A,I'm sorry mom.  I'll make up for it tomorrow.,18-25,,very,{},female,native,,
1,Default,1,2,37KGEN7NJ4MB58LZYFHXAJOQ1DUPP9,sorry! i'll buy bug killer today,26-35,{},slightly,{},male,native,,
1,Default,1,2,37KGEN7NJ4MB58LZYFHXAJOQ1DUPP9,sorry! i'll buy bug killer today,26-35,{},slightly,{},male,native,,
1,Default,1,2,37KGEN7NJ4MB58LZYFHXAJOQ1DUPP9,sorry! i'll buy bug killer today,46-55,{},moderately,{},female,native,,
1,Default,1,2,37Z929RLGA46ASUY7DUBAYUYDVSSTT,"Sorry, what did I leave out that ants came in?",18-25,{},very,{},male,native,,
1,Default,1,2,37Z929RLGA46ASUY7DUBAYUYDVSSTT,"Sorry, what did I leave out that ants came in?",36-45,{},slightly,{},female,native,,
1,Default,1,2,37Z929RLGA46ASUY7DUBAYUYDVSSTT,"Sorry, what did I leave out that ants came in?",18-25,{},slightly,{},female,native,,
1,Default,1,2,38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I know. I'll clean it up as soon as I get home. Love you Mom!,18-25,{},moderately,{},male,native,,
1,Default,1,2,38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I know. I'll clean it up as soon as I get home. Love you Mom!,36-45,{},slightly,{},female,native,,
1,Default,1,2,38JBBYETQP6LJOAQRH9YD9ERW5ZE4F,I know. I'll clean it up as soon as I get home. Love you Mom!,36-45,{},moderately,{},female,native,,
1,Default,1,2,3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,"Sorry mom, I won't do it next time.",46-55,{},slightly,{},female,native,,
1,Default,1,2,3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,"Sorry mom, I won't do it next time.",26-35,{},moderately,{},male,native,,
1,Default,1,2,3C8HJ7UOP8QZY9QST8N7KDW967ZZMH,"Sorry mom, I won't do it next time.",36-45,{},very,{},female,native,,
1,Default,0,3,3CTOC39K38MQDRE17GIWD1BTSEC7J2,What's going on?,36-45,{},none,{},female,native,,
1,Default,0,3,3CTOC39K38MQDRE17GIWD1BTSEC7J2,What's going on?,36-45,{},moderately,{},female,native,,
1,Default,0,3,3CTOC39K38MQDRE17GIWD1BTSEC7J2,What's going on?,26-35,{},none,{},female,profession,,
1,Default,0,3,3FTOP5WARGKCVGEHMHXNYM16K3S0JN,Sometimes you just have to let it go and move on bosses can be straight nightmares,36-45,{},moderately,{},female,native,,
1,Default,0,3,3FTOP5WARGKCVGEHMHXNYM16K3S0JN,Sometimes you just have to let it go and move on bosses can be straight nightmares,36-45,{},extremely,{},female,native,,
1,Default,0,3,3FTOP5WARGKCVGEHMHXNYM16K3S0JN,Sometimes you just have to let it go and move on bosses can be straight nightmares,26-35,{},slightly,{},male,native,,
1,Default,0,3,3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Ugh, maybe time to look around?",46-55,{},moderately,{},female,native,,
1,Default,0,3,3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Ugh, maybe time to look around?",26-35,NONE,very,{},male,native,,
1,Default,0,3,3HFNH7HEMIAQS7TFV96ZGF085FVQGT,"Ugh, maybe time to look around?",18-25,{},slightly,{},male,profession,,
1,Default,0,3,3R8YZBNQ9IE7ZEIE2625A2NF6DXQ7D,that sucks! what are you going to do?,26-35,{},moderately,{},male,native,,
1,Default,0,3,3R8YZBNQ9IE7ZEIE2625A2NF6DXQ7D,that sucks! what are you going to do?,18-25,{},moderately,{},female,native,,
1,Default,0,3,3R8YZBNQ9IE7ZEIE2625A2NF6DXQ7D,that sucks! what are you going to do?,26-35,{},moderately,{},male,native,,
1,Default,0,3,3VBEN272MLV25N8SNDV4BFF9N4HSGN,You need to tell him off or move on!,18-25,{},moderately,{},male,native,,
1,Default,0,3,3VBEN272MLV25N8SNDV4BFF9N4HSGN,You need to tell him off or move on!,26-35,{},slightly,{},male,native,,
1,Default,0,3,3VBEN272MLV25N8SNDV4BFF9N4HSGN,You need to tell him off or move on!,36-45,{},none,{},female,native,,
1,Default,0,3,32Z9ZLUT1MG17RBA02WDCAH95CTOHH,What is going on this time? Just be patient. You got this!,36-45,{},extremely,{},female,native,,
1,Default,0,3,32Z9ZLUT1MG17RBA02WDCAH95CTOHH,What is going on this time? Just be patient. You got this!,18-25,No,moderately,{},male,profession,,
1,Default,0,3,32Z9ZLUT1MG17RBA02WDCAH95CTOHH,What is going on this time? Just be patient. You got this!,18-25,{},slightly,{},male,native,,
1,Default,0,3,33FBRBDW6PV75RDE7TTG4XUTDHR8C0,I hope everything is okay. What happened this time?,18-25,{},moderately,{},male,profession,,
1,Default,0,3,33FBRBDW6PV75RDE7TTG4XUTDHR8C0,I hope everything is okay. What happened this time?,26-35,{},moderately,{},male,native,,
1,Default,0,3,33FBRBDW6PV75RDE7TTG4XUTDHR8C0,I hope everything is okay. What happened this time?,26-35,{},very,{},male,native,,
1,Default,0,3,38BQUHLA9XWNZ5CLRZCQ4FP5M05MO5,Keep looking - your dream job is out there.,26-35,{},very,{},male,native,,
1,Default,0,3,38BQUHLA9XWNZ5CLRZCQ4FP5M05MO5,Keep looking - your dream job is out there.,36-45,{},slightly,{},male,native,,
1,Default,0,3,38BQUHLA9XWNZ5CLRZCQ4FP5M05MO5,Keep looking - your dream job is out there.,36-45,{},none,{},female,native,,
1,Default,0,3,3DH6GAKTYZLZSQF6CBBIE8JGFFZYZO,Than why dont you just quit?,26-35,{},slightly,{},male,native,,
1,Default,0,3,3DH6GAKTYZLZSQF6CBBIE8JGFFZYZO,Than why dont you just quit?,36-45,{},none,{},female,native,,
1,Default,0,3,3DH6GAKTYZLZSQF6CBBIE8JGFFZYZO,Than why dont you just quit?,18-25,{},none,{},female,native,,
1,Default,0,3,3ERMJ6L4DZOGEZKMADVOTT3AWBVM7F,Keep your head up and don't let him get to you.,26-35,none,moderately,{},female,profession,,
1,Default,0,3,3ERMJ6L4DZOGEZKMADVOTT3AWBVM7F,Keep your head up and don't let him get to you.,46-55,{},very,{},male,native,,
1,Default,0,3,3ERMJ6L4DZOGEZKMADVOTT3AWBVM7F,Keep your head up and don't let him get to you.,26-35,{},very,{},female,native,,
1,Default,1,3,3ERMJ6L4DZOGEZKMADVOTT3AWEI7MT,what did he do this time?,36-45,{},moderately,{},female,native,,
1,Default,1,3,3ERMJ6L4DZOGEZKMADVOTT3AWEI7MT,what did he do this time?,18-25,{},slightly,{},female,native,,
1,Default,1,3,3ERMJ6L4DZOGEZKMADVOTT3AWEI7MT,what did he do this time?,46-55,{},extremely,{},male,native,,
1,Default,1,3,3LRLIPTPER537DIHW4USO7DW8BHAKU,"Yeah, I know what that's like. Can't let it get to you though.",26-35,{},moderately,{},male,native,,
1,Default,1,3,3LRLIPTPER537DIHW4USO7DW8BHAKU,"Yeah, I know what that's like. Can't let it get to you though.",36-45,{},extremely,{},female,native,,
1,Default,1,3,3LRLIPTPER537DIHW4USO7DW8BHAKU,"Yeah, I know what that's like. Can't let it get to you though.",26-35,{},very,{},male,profession,,
1,Default,1,3,3NXNZ5RS1BT17F1SL4RJO7XQWD379I,I'm so sorry! What happened today?,18-25,{},slightly,{},male,profession,,
1,Default,1,3,3NXNZ5RS1BT17F1SL4RJO7XQWD379I,I'm so sorry! What happened today?,36-45,{},extremely,{},female,native,,
1,Default,1,3,3NXNZ5RS1BT17F1SL4RJO7XQWD379I,I'm so sorry! What happened today?,26-35,{},moderately,{},male,native,,
1,Default,1,3,3PDJHANYK6CBIL5606AJVAVIKEHH67,What did he do this time?,18-25,{},moderately,{},female,native,,
1,Default,1,3,3PDJHANYK6CBIL5606AJVAVIKEHH67,What did he do this time?,26-35,NONE,very,{},male,native,,
1,Default,1,3,3PDJHANYK6CBIL5606AJVAVIKEHH67,What did he do this time?,36-45,{},slightly,{},female,native,,
1,Default,1,3,3QL2OFSM97ES8Y0IDVIZMUKO2ASNC1,What did he do this time?,26-35,{},very,{},female,native,,
1,Default,1,3,3QL2OFSM97ES8Y0IDVIZMUKO2ASNC1,What did he do this time?,18-25,{},moderately,{},female,native,,
1,Default,1,3,3QL2OFSM97ES8Y0IDVIZMUKO2ASNC1,What did he do this time?,36-45,{},none,{},female,native,,
1,Default,1,3,3VW6495TLKWZN051GP9Z01AE9LEYYG,You should probably calm down as you need the job!,18-25,{},none,{},female,native,,
1,Default,1,3,3VW6495TLKWZN051GP9Z01AE9LEYYG,You should probably calm down as you need the job!,36-45,{},slightly,{},female,native,,
1,Default,1,3,3VW6495TLKWZN051GP9Z01AE9LEYYG,You should probably calm down as you need the job!,26-35,{},none,{},male,native,,
1,Default,1,3,33M4IA01QHX1QU35XYV39RA84PZRXP,"I'm sorry, I know how you feel",26-35,{},moderately,{},male,native,,
1,Default,1,3,33M4IA01QHX1QU35XYV39RA84PZRXP,"I'm sorry, I know how you feel",36-45,{},very,{},female,native,,
1,Default,1,3,33M4IA01QHX1QU35XYV39RA84PZRXP,"I'm sorry, I know how you feel",18-25,{},moderately,{},male,native,,
1,Default,1,3,351SEKWQS1DWV8LW1QYATLD6IJ6MDA,"I'm sorry, dude. Do you want to talk about it?",26-35,{},very,{},female,native,,
1,Default,1,3,351SEKWQS1DWV8LW1QYATLD6IJ6MDA,"I'm sorry, dude. Do you want to talk about it?",26-35,{},very,{},female,native,,
1,Default,1,3,351SEKWQS1DWV8LW1QYATLD6IJ6MDA,"I'm sorry, dude. Do you want to talk about it?",18-25,{},moderately,{},male,profession,,
1,Default,1,3,358010RM5FPTJ1KM6I0DAOZBPUWXV6,Uh-oh... what did he do this time?,26-35,{},moderately,{},female,native,,
1,Default,1,3,358010RM5FPTJ1KM6I0DAOZBPUWXV6,Uh-oh... what did he do this time?,26-35,{},slightly,{},male,native,,
1,Default,1,3,358010RM5FPTJ1KM6I0DAOZBPUWXV6,Uh-oh... what did he do this time?,18-25,{},moderately,{},male,native,,
1,Default,1,3,3A9AA95ATXI7CY3GE08JCDJ9A8Z5PZ,Have you been looking on Glassdoor? There's gotta be something better out there.,46-55,{},extremely,{},male,native,,
1,Default,1,3,3A9AA95ATXI7CY3GE08JCDJ9A8Z5PZ,Have you been looking on Glassdoor? There's gotta be something better out there.,18-25,{},extremely,{},male,native,,
1,Default,1,3,3A9AA95ATXI7CY3GE08JCDJ9A8Z5PZ,Have you been looking on Glassdoor? There's gotta be something better out there.,36-45,{},slightly,{},female,native,,
1,Default,0,4,3E47SOBEYRS0UXPRGF57HMO7GC0ICK,"Oh sorry, maybe it's time to confess and make things right.",18-25,{},very,{},male,profession,,
1,Default,0,4,3E47SOBEYRS0UXPRGF57HMO7GC0ICK,"Oh sorry, maybe it's time to confess and make things right.",36-45,{},slightly,{},female,native,,
1,Default,0,4,3E47SOBEYRS0UXPRGF57HMO7GC0ICK,"Oh sorry, maybe it's time to confess and make things right.",26-35,{},extremely,{},female,native,,
1,Default,0,4,3JAOYWH7VJ00M0QUPYST7CFRRT5L9U,"Sorry to hear. I never saw her last night, I have no clue who told her. Good luck.",18-25,{},slightly,{},male,none,,
1,Default,0,4,3JAOYWH7VJ00M0QUPYST7CFRRT5L9U,"Sorry to hear. I never saw her last night, I have no clue who told her. Good luck.",46-55,{},very,{},female,native,,
1,Default,0,4,3JAOYWH7VJ00M0QUPYST7CFRRT5L9U,"Sorry to hear. I never saw her last night, I have no clue who told her. Good luck.",26-35,{},slightly,{},male,native,,
1,Default,0,4,3KV0LJBBH3HQWI41JRTUYAUAXNCRM6,"I didn't tell Jane about your drinking. On the other hand, it's possible you either exhibited symptoms of drinking or she smelled alcohol on your breath.",26-35,{},none,{},male,native,,
1,Default,0,4,3KV0LJBBH3HQWI41JRTUYAUAXNCRM6,"I didn't tell Jane about your drinking. On the other hand, it's possible you either exhibited symptoms of drinking or she smelled alcohol on your breath.",18-25,{},slightly,{},female,native,,
1,Default,0,4,3KV0LJBBH3HQWI41JRTUYAUAXNCRM6,"I didn't tell Jane about your drinking. On the other hand, it's possible you either exhibited symptoms of drinking or she smelled alcohol on your breath.",46-55,{},slightly,{},male,native,,
